paper_id,cluster
000a9d20ef42c288254c8e631056693b8e3b5498,0
000b7d1517ceebb34e1e3e817695b6de03e2fa78,1
0012e9e7414d62c560dd8da14415c4803fc8674e,0
00142f93c18b07350be89e96372d240372437ed9,2
0015023cc06b5362d332b3baf348d11567ca2fbb,1
0015319d29a94e7dca443cc690f932b99ef616d1,0
00161bc43f795360f321492e41e28e1e02e9144b,0
001b3d68eb9da2d0fbae9e526d07ab96afe3f312,0
001ebffb65aab84e37a66f73d5a418c251ce821a,0
0022796bb2112abd2e6423ba2d57751db06049fb,3
0022a302e5f1cda0b963330c6ff414726f77d976,0
0022f4fce786bf8c06a13d0e3486668802bfcbd5,0
00240203a2dcc5146a441e1b67a40b69a94f80a0,0
00260429f4bddc57b04f025adb6c91c28cb4580b,0
0028386fa2323c0df796f3331aa21720d3cf800c,0
00293df254215cb52f31c9319576d37b3c5e66e6,0
002cdc060dbc46129ae17ac7d418a9b8dcba1464,0
002f09dfc9a1323a15bf72e349d8b733ac97a2aa,2
00326efcca0852dc6e39dc6b7786267e1bc4f194,2
00352a58c8766861effed18a4b079d1683fec2ec,2
0035b1bf33b5f7d4eb6d032998c08c0c280c7dcb,0
0036b28fddf7e93da0970303672934ea2f9944e7,0
0036e8891c93ae63611bde179ada1e03e8577dea,2
00378829b1df524d9f72cdad968dc635c614fa41,0
003a81cfaf6b18d88809ab832db59afc3dc9e82e,0
003ef124674ac1775020d8687fb4213b16499536,0
0041eeaeb600d661ea1548683b022895259712e4,0
0043d044273b8eb1585d3a66061e9b4e03edc062,3
0043e9d125da00843ca9e34a3441f530a768720d,0
004599346547a8f2c0ac65f6170914dc57e4f016,0
0049ba8861864506e1e8559e7815f4de8b03dbed,2
004f0f8bb66cf446678dc13cf2701feec4f36d76,1
00534e81b57655bfaaad33a06b6d24015491a082,0
0053a4572091569d2296a380aeef367759b5b7e3,0
0053afc398e118f91781e815f349804fb05ecfe1,0
00573277e6be50669016f770bc28ec2da0639a8f,2
005b1aaae8caf6b66470584cc2c515e24ed3e81c,0
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,2
005ffac91df28e6d8f3b56e6ef643c4c0282d3e9,0
00623bf2715e25d3acacb3f210d6888ed840e3cb,2
00625ce28966f56a735f34f8deef05be42cd0816,0
00676f1131e03ca8defe523e79bc1635cc933909,0
00683d59d56123ae85e080d00ef1b3edd3f7405d,1
006be99e337c84b8758591a54f0362353b24dfde,2
006bfa7dbe2caea917efd90843b0882c402abfce,0
0072159e1ebecc889e9bcabb58bb45c47e18a403,2
00734eb84c7931fdd30d3cd0023d4fafb310e078,0
007618ad76a3548195ab5d11c1e2459931c91cd1,2
007bf75961da42a7e0cc8e2855e5c208a5ec65c1,2
007e45183f45c14370636a1eaa6c5531dbcda45f,0
00800786997386f4fcd971ee945102bb52a9d557,0
0080d3bd9fb92e022c27715c2d1249042aa998b8,2
0089aa4b17549b9774f13a9e2e12a84fc827d60b,2
008c1ceaeffe7abc87b031af39fae2632fa72897,1
008d980cbcc283a9b707de3d9a02573dde8528ac,2
008e6bd4abf1df390a8647264dc13331dc2b7168,0
009002e8a66b8c1df088cf04069629fd76b13bb9,2
00922f3da17d32e4e0de87d56cddd61776355ce4,0
0093f9ae0861afc0d29fff935ae6a3af898cea00,2
0094b25e2500306fadbdfb41d520f2970bb086d3,2
00951716e01c8e0cc341770389fc38d1b5455210,1
009892e02bc1a4c9abf6f547b979e68ecbde8087,2
009b600b283a48da08b3e62c706e6dd68f4407aa,0
009c2306d0241942b4ca0c6f42f3719184feee4a,0
009d69179425ba132e12913ae14e0196e8e75fb3,0
009dd005c9c9fad96d45196d3dbf8581489ab6a1,0
009eaad22ad509c7286b0aaa59b0751405b39d3a,0
00a00d0edc750db4a0c299dd1ec0c6871f5a4f24,2
00a0acb068149ffc2afae07c50df2399589e3917,0
00a2b152c77ee637eb961b5d8d45db89ac9e530e,0
00a2cc4ce5d15b23d3e69bf46e05f0fdf2733595,0
00a664b48014274712296dc71d6bc77846aff6e3,0
00a991c7d1c8a86b5627340206fa83d6716f34c1,0
00ab7a8de2196256c230fd21247217b642b68a8a,0
00ab80b71e43170669f4d5e762e102955e8e65d2,0
00acd3fd31ed0cde8df286697caefc5298e54df1,1
00ae0041374cbbf28df0d2cbeb08c1396a4f7878,2
00af745debd58f0b2dd8ea2360e007665726bcf2,0
00af80743cef9bd8c04c532d74e9c67f0c9312e4,0
00b00a889079e22a8442152501534c9ddd972e27,0
00b182767045e9589ba136581b4283e7b69707d4,0
00b5a5d63551ce4791a272689f691d5e8a8133fb,0
00b6e3e2135d902fce58e79cd256d0a5c0180f71,0
00b88130d2a7c8489e209742494303b6731d7544,1
00ba88b6a1d006535a5e85b2c40c5db7d2f95200,0
00bdb2cc57ea8bb6c013f79d752545015644e779,0
00c19aff3efc6e6430f77d81580ac927990ad5a2,2
00c27bf27b246c0ce58a6d29bc7fab38eb4ef683,0
00c88aab2bfcca0db253c972382e5eee245d071e,2
00c93cc4ed311490be8877a3d35fbe884b58efc3,0
00c9427f6cdfee0abd8c81cee266cf5142238cbf,0
00cb1a95986171a256f5ef14701bd8f571221a28,3
00ccc4ef2b6c6f238836b7feb5123bd6a822cc08,2
00cf719db65d07c0c7bdea9defaea448fc5f5786,1
00d16927588fb04d4be0e6b269fc02f0d3c2aa7b,2
00d1b72cb4dca67c6c1ae41b1e0da0f31909ed2c,0
00d2c37d8ba44edd837cd3275bee53ff8f5b58d5,0
00d48f735193f2f248a2963e222751b676639e60,0
00d4ff0cfe5582b3f2746b2a33d67f6bd4307e98,0
00dce8da5fcee849b30c9d7a7e358c5855b14ca9,2
00e1afed2ca8c82ef8711512907e988dca0f2526,0
00e5a723d44eb9f2698c38b518eff85c00f9753b,1
00ed8f7031b6dcdec3c1be10c6334a2e6dfc51d2,0
00ee1da351ca3de102418cd86b59766017750bff,0
00ef44571f882337216a29bef3188a82a7adc8fa,0
00f014199a25e7ebea43d39bd39c202f33d4f752,0
00f07d81ef984804a70c9daf2c45bb71d368d28a,0
00f14ac49f52b766faa23f795414a5b407262e3f,0
00f1ef126735474ccaf3a8d1cce9a4823d7f1228,2
00f236f9d1a8efc31af9b825e82c6404f5609125,0
00f3154fd1b43a980ce317205564578f6e0c94da,0
00f448cc045dd14d1075568b83677c1a742d7b3f,0
00f61d5df13648af8f184c589fc9f6728f096917,0
00f66b6f0c811e5adac6679e93e3ea3d47bdabd4,0
00f7d667e3362066c08f7d6594d1d3b0cb16e08e,2
00f9bd14a5858b42e7c4bd906563d47e3b8204d6,0
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,1
01019f881b32e7484090bddb1f33148ab4bd883b,0
010244516e83fe8af1440b7223c4d8577d2787f3,0
0104f3241738899db20a85cb15596293734f4315,0
0104f6ceccf92ae8567a0102f89cbb976969a774,2
010a3e0b94485b14a46a26d502b3a37fa763b4eb,0
010ad052b58172981e089bc73b9ad16a732960f2,1
010e66b15791154f809d403f59d76d4b1c168107,0
01110a24b6ce133ae80d21a36c7994e364ba296c,1
0113b9a8d82039e8474e887038d643853b5fdfeb,0
011422cf8811d92a5c7fee22e613cd36e1ef92d5,0
0116d6ee49c69bb175b8de793826606dc82f9e78,0
0116dea9b6d4c58748d1a38b69b4fe6e06868aa4,1
011b8a7002da6c0fae7ca76c127567a6462daf5d,2
011fd1db5b9944ba992d9bd9bafe793b720b9d6d,0
0122e8d7be485cc04306051a754e38a211d2e3d1,0
01234cee305e37a78cedea8148bf6177d47fe66b,1
0123531483a2ea20c596b8926a349262eedfed4c,0
01285aff189f375f52b762256d8f419ccad3077c,2
01297dffaf94c1314ca46088f7b829b8383c2f73,2
012bbad97aa874f5f32645d80cee5526db164dd1,0
012d8141931002817a7e1efd382cf0a85bb1a5c0,0
012d8624c3e0621752d0effbfa609b15d5ca74da,0
012dd7094e614d0f0e9e1da5cc56a3fe225f961c,0
012debf5a240a496518af146ddfc16c958339c2b,2
012e3c3e90628fc14a572e01e702b907472b16f3,0
012fd78cdadeafe75a8e2c94ac6a3ee4286988e9,0
01311c00531433205112bb49c80432dd9299576c,0
0132b8c2721692d9f53bd33a738fa94618bb4e91,2
0132e11dc3c4f59f36783f0d764f4affbfa1cc20,0
013588b11488c3cb14f3740d78b12da142ab7c13,0
013602fc7c2a0e0c4fcfb0e50f6b09fd2c2faa34,0
01363927a2d74245f78e5850a085caf62836f9b8,2
013814925404e408ee72c034e539d3c47f4daa73,0
013aa51ae7fc77428eb949f165a29116868c90a4,0
013beb2a1544068c3d0ce6a155d901ffec9c56b1,0
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,1
013d9fb8719d3d3d47738f9f0604f3b643c4df57,2
013e59d78b56b934b608e1ab2af766f6cbf5767c,0
013efebeacfb3148ec21bb8d83b040dd0437ea3a,0
013ff749a58f92db7e227f7acbe47d050175851c,2
014336e4855d194c1833ba91c8ae3b302cbeafe2,2
0144a34d370d50d3335b3f92a85054cb935e21a3,0
0146dcbce42ccc2c6f1c8f97ab1bfd883be04e8c,0
014918ecbc040976333c278cfd73418986571780,0
014d7df59dc6c5ed456bf19b76b394e920d3a9dc,3
014d95b727cbe8479e8aa8921fb1aff5d63d88b3,0
014e31dce7e3f2b1a7020a5debfbf228182f8b5e,2
0155b111005e81e6239bd8751d2102bd2d18fb8f,0
015729be3f439e9ef2033276a4ef14df8873dda9,2
01572aff6b1bcbf5135b469b39f134838d39f4a0,0
015a5be4701f244a51d6c244c2ba5b69ac68dd9d,1
015c335c8cb9e5eabb352e81c0f38bf6f781b202,1
0162b627476379a84d5a92480a881efdd3063f66,1
01669153236899edec9fff5fc4fb19a742c3dfef,2
0167ab4de1ae7e0fadfa6b83a9039fa6c7fc8157,0
0167dddb0e2783a60841b8e6f2b4e4cb981904e2,0
0167e22452058eec61fac1bd923dcfda6e1a15e9,0
017015a89a8532f7b4a05bc06126d9e4413d2342,0
01732214b0e66594afaceb2f641102b42e1b4685,1
017383c57b1131bb477eba003cdb36af4e7506e5,0
017863a219404947fa623b1da48e37492616877d,0
017ca5bdac589a37196df7b8e077c4c371ab32da,2
0180abece22ace6548f4601591c98059808d0509,2
0180ae2ca11913d33da3e288faf0d4159c41acbb,0
0181010a40e179c9b66d8b1f0eaac4fbf0ab6341,2
018269476cd191365d6b8bed046078aea07c8c01,1
018460f6371890fe8cbb4cc74348cf6a9799b42d,0
01878f13172ebb139f51c1b459b001aac2176cb1,0
01879bf2b5a3926d4973c485a13342d9550eaee6,0
01880ef487dfed3681dd6d296a0a82417b8f38a0,2
0188acc1eba8c0a3adef55aeada7de552cf855be,1
018b5b5f732e955d349e14a83481739502ae104c,2
018b618ea132d47ffb43b003a6c78cb9eeadc017,2
019453e715f8da737f9bd5896ba89d8cb24b5ac2,0
0198cfdc1264f3a5892caae7e0fc6de759ff4276,0
019996b86fc0e00eb3b546d09acfe18b37e3fb75,0
0199ed98287f5abbb197a4f29a00675c19a1909e,0
019c5a34ed14f0d0dec5792a21245991431712b0,0
019de8df3110046899ed5060becd23542dfebff3,0
019edb72782a55f6322e563677de50f62f206294,0
019ede0c6f1c02b64dea8e05e3bc8c7cb5811fae,2
